,Unnamed: 4,Case,Disposition,Penalty,description,alcohol,parking,other,off duty,year
120,,2016-16551,GUILTY,VACATION DAYS (25 day(s) ),"while off duty wrongfully consumed an intoxicant, to wit, a quantity of beer to the extent that he was unfit for duty.",True,False,False,True,2016
121,,2017-17224,GUILTY,"DISMISSAL PROBATION (12 month(s) ), FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($228), VACATION DAYS (65 day(s) )",conducted personal business while on department time and utilized a department vehicle for personal business,False,False,True,False,2017
122,,2018-19860,GUILTY,VACATION DAYS (10 day(s) ),wrongfully stopped a vehicle.,False,False,True,False,2018
123,,2019-20049,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",while off-duty was unfit for duty due to his consumption of alcohol.,True,False,False,False,2019
124,,2016-15206,GUILTY,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) )","while on-duty, struck an individual  known to this department with his vehicle resulting in injuries and proceeded to leave the scene of the accident without notifying a patrol supervisor.",False,False,True,False,2016
125,,2016-15206,GUILTY,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) )","while on-duty, struck an individual  known to this department with his vehicle resulting in injuries and proceeded to leave the scene of the accident without reporting.",False,False,True,False,2016
126,,2010-3123,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (36 day(s) ), VACATION DAYS (9 day(s) )",refused to submit to a breathalyzer test.,True,False,False,False,2010
127,,2010-3123,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (36 day(s) ), VACATION DAYS (9 day(s) )",while off-duty did wrongfully operate a motor vehicle while his ability was impaired by the consumption of alcohol.,True,False,False,False,2010
128,,2010-3123,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (36 day(s) ), VACATION DAYS (9 day(s) )",while off-duty did wrongfully operate a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2010
129,,2020-22890,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",violated department of motor vehicle rules.,False,False,True,False,2020
130,,2017-17727,GUILTY,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (31 day(s) )","while off duty, said police officer gamez failed to immediately identify himself as a member of service to members of the 114th precinct, during a motor vehicle accident investigation.",False,False,True,True,2017
131,,2016-15422,GUILTY,VACATION DAYS (25 day(s) ),"while off-duty, failed to remain at the scene of an unusual police occurrence and/or promptly notify the operations unit.",False,False,True,False,2016
132,,2016-16046,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )","while off-duty, operated a motor vehicle while under the influence of an intoxicant and collided with a wooden utility pole.",True,False,False,False,2016
133,,2016-16046,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )","while off-duty, wrongfully operated a motor vehicle while his ability was impaired by the consumption of an intoxicant.",True,False,False,False,2016
134,,2016-16046,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )","while off-duty, wrongfully operated a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2016
135,,2016-16046,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (15 day(s) )","while off-duty, wrongfully refused to submit to a chemical breath test to determine blood alcohol concentration.",True,False,False,False,2016
136,,2015-14825,GUILTY,VACATION DAYS (20 day(s) ),"without just cause operated a department vehicle for a non-department purpose, without permission or authority to do so.",False,False,True,False,2015
137,,2015-14181,GUILTY,"PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (5 day(s) )",wrongfully damaged the vehicle of another person known to this department.,False,False,True,False,2015
138,,2018-18946,GUILTY,VACATION DAYS (12 day(s) ),failed to operate his rmp at a slow rate of speed absent exceptional circumstances and or extreme emergency.,False,False,True,False,2018
139,,2018-18946,GUILTY,VACATION DAYS (12 day(s) ),failed to terminate a vehicle pursuit when the risk to said officer and the public outweighed the danger of the community.,False,False,True,False,2018
140,,2018-18946,GUILTY,VACATION DAYS (12 day(s) ),"initiated a vehicle pursuit reaching a high speed without taking into consideration the location, population denisty, and police necessity.",False,False,True,False,2018
141,,2010-3045,GUILTY,VACATION DAYS (25 day(s) ),wrongfully used an unmarked department vehicle,False,False,True,False,2010
142,,2010-1645,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",failed to follow darp procedure by not requesting an authorized darp towing company and allowing a non-darp towing company to remove vehicles from the scene of various motor vehicle accidents.,False,False,True,False,2010
143,,2010-1645,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )","failed to follow darp procedures by allowing a non-darp towing company to remove motor vehicles from the scene of a vehicle accident, when said tow truck was not dispatched by the communication section.",False,False,True,False,2010
144,,2010-1645,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",failed to give a proper radio disposition to the communication section by not informing them that a vehicle was towed from the scene.,False,False,True,False,2010
145,,2014-11678,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (64 day(s) ), VACATION DAYS (16 day(s) )",refused to submit to a breath test.,True,False,False,False,2014
146,,2014-11678,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (64 day(s) ), VACATION DAYS (16 day(s) )",wrongfully operated a motor vehicle while his ability was impaired by an intoxicant.,True,False,False,False,2014
147,,2014-11678,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (64 day(s) ), VACATION DAYS (16 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2014
148,,2015-14599,GUILTY,VACATION DAYS (8 day(s) ),having been involved in an unusual police occurrence failed to remain at the scene or to notify the deparment's operations unit.,False,False,True,False,2015
149,,2015-13589,GUILTY,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (31 day(s) )","while off-duty, having been involved in a police incident, did thereafter fail and neglect to report said incident to the operations unit, as required",False,False,True,False,2015
150,,2019-21517,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",accident resulting in property damage.,False,False,True,False,2019
151,,2019-21517,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",open container of alcohol in a vehicle.,True,False,False,False,2019
152,,2019-21517,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",operated a motor vehicle while their ability was impaired.,False,False,True,False,2019
153,,2019-21517,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (38 day(s) )",refused to submit to a breathalyzer test.,True,False,False,False,2019
154,,2017-17565,NOLO CONTENDRE,VACATION DAYS (10 day(s) ),failure to terminate a vehicle pursuit.,False,False,True,False,2017
155,,2018-19719,GUILTY,VACATION DAYS (15 day(s) ),wrongfully allowed her husband to use her department parking permit.,False,True,False,False,2018
156,,2018-19719,GUILTY,VACATION DAYS (15 day(s) ),wrongfully used or allowed the use of department parking permit.,False,True,False,False,2018
157,,2014-12084,GUILTY,VACATION DAYS (15 day(s) ),"while on-duty, after being properly notified, failed and neglected to appear at the bronx traffic violations bureau",False,False,True,False,2014
158,,2016-15643,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )","while on-duty, wrongfully was unfit for duty due to consumption of alcohol.",True,False,False,False,2016
159,,2010-2183,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, VACATION DAYS (30 day(s) )",unfit for duty due to the consumption of an intoxicant.,True,False,False,False,2010
160,,2010-1419,GUILTY,"RESTITUTION ($428), VACATION DAYS (20 day(s) )",wrongfully transported unauthorized civilians in a department vehicle without police necessity.,False,False,True,False,2010
161,,2010-1419,GUILTY,"RESTITUTION ($428), VACATION DAYS (20 day(s) )",wrongfully utilized department vehicle and e- z pass for personal reasons.,False,False,True,False,2010
162,,2017-18040,GUILTY,"DISMISSAL PROBATION (12 month(s) ), FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($1,105), VACATION DAYS (30 day(s) )","drove an unregistered, uninsured, and uninspected ford fusion on a public road.",False,False,True,False,2017
163,,2017-18040,GUILTY,"DISMISSAL PROBATION (12 month(s) ), FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($1,105), VACATION DAYS (30 day(s) )","improperly used his department issued parking permit, in that, he displayed his department issued parking permit in an unregistered vehicle and displayed the permit while off-duty.",False,True,False,False,2017
164,,2017-18040,GUILTY,"DISMISSAL PROBATION (12 month(s) ), FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($1,105), VACATION DAYS (30 day(s) )","improperly used his department issued parking permit, in that, he displayed his department issued parking permit in an unregistered vehicle and pared the unregistered vehicle within fifteen (15) feet of a fire hydrant.",False,True,False,False,2017
165,,2017-18040,GUILTY,"DISMISSAL PROBATION (12 month(s) ), FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($1,105), VACATION DAYS (30 day(s) )",improperly used the high occupancy vehicle lane without the required number of occupants.,False,False,True,False,2017
166,,2017-18040,GUILTY,"DISMISSAL PROBATION (12 month(s) ), FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($1,105), VACATION DAYS (30 day(s) )","on muliptle occasions, drove an unregistered bmw vehicle on a public road.",False,False,True,False,2017
167,,2015-14527,GUILTY,VACATION DAYS (20 day(s) ),"while on-duty, wrongfully used his personal vehicle without permission or authority from a supervisor.",False,False,True,False,2015
168,,2019-20768,GUILTY,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) )",failed to comply with driving rules and regulations.,False,False,True,False,2019
169,,2019-20768,GUILTY,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) )",left the scene of an accident.,False,False,True,False,2019
170,,2010-1435,GUILTY,VACATION DAYS (20 day(s) ),while off duty left the scene of a motor vehicle accident without contacting the police.,False,False,True,True,2010
171,,,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), VACATION DAYS (25 day(s) )",operated a motor vehicle recklessly.,False,False,True,False,
172,,,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), VACATION DAYS (25 day(s) )",operated a motor vehicle while their ability was impaired.,False,False,True,False,
173,,,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (35 day(s) ), VACATION DAYS (25 day(s) )",operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,
174,,2014-11284,GUILTY,VACATION DAYS (20 day(s) ),did wrongfully and without just cause operate a department vehicle outside the confines of the precinct to conduct personal business without permission or authority to do so.,False,False,True,False,2014
175,,2016-15901,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (33 day(s) ), SUSPENDED W/O PAY (20 day(s) ), VACATION DAYS (35 day(s) )",operated a motor vehicle while his ability was impaired by the consumption of an intoxicant.,True,False,False,False,2016
176,,2016-15901,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (33 day(s) ), SUSPENDED W/O PAY (20 day(s) ), VACATION DAYS (35 day(s) )",operated a motor vehicle while under the influence of an intoxicant and collided with another vehicle causing injuries to its passenger or operator.,True,False,False,False,2016
177,,2016-15901,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (33 day(s) ), SUSPENDED W/O PAY (20 day(s) ), VACATION DAYS (35 day(s) )",refused to submit to a chemical breath test to determine his blood alcohol concentration.,True,False,False,False,2016
178,,2016-15901,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (33 day(s) ), SUSPENDED W/O PAY (20 day(s) ), VACATION DAYS (35 day(s) )","while off-duty, operated a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2016
179,,,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (60 day(s) )",failed to notify the radio dispatcher about a vehicle pursuit.,False,False,True,False,
180,,,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (60 day(s) )",improper vehicle pursuit.,False,False,True,False,
181,,2010-2910,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )","while on-duty, did fail to prepare an accident information exchange/acknowledgement of found property (pd301-092) report.",False,False,True,False,2010
182,,2010-644,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )","said police officer did fail to conduct a proper investigation, to wit: said police officer: (a) while at the scene of a vehicle accident which caused significant property damage, did fail to speak with both the driver of the vehicle and members of emergency medical services; and (b) while at the hospital emergency room, did fail to ask the driver about the circumstances or cause of the vehicle accident.",False,False,True,False,2010
183,,2010-2211,PLEADED GUILTY,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",displayed parking permit in an unauthorized vehicle.,False,True,False,False,2010
184,,2010-2211,PLEADED GUILTY,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",failed to follow departmental procedure in routine traffic stop.,False,False,True,False,2010
185,,2010-2562,GUILTY,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (7 day(s) ), VACATION DAYS (13 day(s) )",while off duty failed to report said incident as required.,False,False,True,True,2010
186,,2010-2880,GUILTY,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (41 day(s) ), VACATION DAYS (4 day(s) )","while suspended from duty , was unfit for duty due to the consumption of an intoxicant",True,False,False,False,2010
187,,2010-2965,GUILTY,VACATION DAYS (15 day(s) ),wrongfully utilized a department vehicle without permission,False,False,True,False,2010
188,,2019-21193,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (55 day(s) )",operated a motor vehicle while their ability was impaired.,False,False,True,False,2019
189,,2019-21193,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (55 day(s) )",operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2019
190,,2019-21193,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (55 day(s) )",refused to submit to a breathalyzer.,True,False,False,False,2019
191,,2015-13046,GUILTY,VACATION DAYS (10 day(s) ),"while off-duty, wrongfully failed to remain at the scene of an off-duty incident, wrongfully failed and neglected to make notifications as required",False,False,True,False,2015
192,,2017-17100,PLEADED GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )","while on-duty, drove his personal vehicle without permission or authority to transport a member of service receiving medical treatment.",False,False,True,False,2017
193,,2017-17100,PLEADED GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )","while on-duty, drove to a location to engage in non-department business without permission or authority to do so.",False,False,True,False,2017
194,,2015-14227,PLEADED GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",did exaggerate her limitations in operating a motor vehicle.,False,False,True,False,2015
195,,2017-17317,GUILTY,VACATION DAYS (20 day(s) ),"while on duty, failed and neglected to safeguard a department vehicle.",False,False,True,False,2017
196,,2014-11629,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (20 day(s) )","while off-duty, police officer was involved in a vehicle accident that caused damage to the property of another and failed to remain at the scene of the accident.",False,False,True,False,2014
197,,2014-11629,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (20 day(s) )","while off-duty, refused to submit to a breath test.",True,False,False,False,2014
198,,2014-11629,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (20 day(s) )","while off-duty, wrongfully operated a motor vehicle while his ability was impaired by the consumption of an intoxicant.",True,False,False,False,2014
199,,2014-11629,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (20 day(s) )","while off-duty, wrongfully operated a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2014
200,,2017-17591,GUILTY,VACATION DAYS (25 day(s) ),placed an unauthorized plastic cover over the front and rear license plate of his personal vehicle.,False,False,True,False,2017
201,,2018-19491,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (33 day(s) ), SUSPENDED W/O PAY (12 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, refused to submit to a chemical breath test to determine his blood alcohol content.",True,False,False,False,2018
202,,2018-19491,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (33 day(s) ), SUSPENDED W/O PAY (12 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, was unfit for duty due to the consumption of alcohol.",True,False,False,False,2018
203,,2018-19491,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (33 day(s) ), SUSPENDED W/O PAY (12 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, wrongfully operated a motor vehicle while his ability to do so was impaired by an intoxicant.",True,False,False,False,2018
204,,2018-19491,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (33 day(s) ), SUSPENDED W/O PAY (12 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, wrongfully operated a motor vehicle while intoxicated.",False,False,True,False,2018
205,,2010-2352,GUILTY,VACATION DAYS (45 day(s) ),"after being involved in a police incident, failed to promptly notify the operations unit.",False,False,True,False,2010
206,,2017-17527,GUILTY,VACATION DAYS (5 day(s) ),"after being properly notified, failed to appear at the traffic violations bureau resulting in the dismissal of eleven (11) summons against eleven (11) different motorists.",False,False,True,False,2017
207,,2016-15323,GUILTY,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, having been involved in a police incident, did thereafter fail to remain at the scene and request the response of a patrol supervisor.",False,False,True,False,2016
208,,2010-612,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (14 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2010
209,,2016-16616,GUILTY,VACATION DAYS (10 day(s) ),"while on-duty, wrongfully failed to terminate a vehicle pursuit due to the risks to members of the service and the public.",False,False,True,False,2016
210,,2016-15053,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (36 day(s) ), VACATION DAYS (14 day(s) )","while off-duty, wrongfully operated a motor vehicle while his ability was impaired by the consumption of alcohol.",True,False,False,False,2016
211,,2016-15053,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (36 day(s) ), VACATION DAYS (14 day(s) )","while off-duty, wrongfully operated a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2016
212,,2016-15053,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (36 day(s) ), VACATION DAYS (14 day(s) )","while off-duty, wrongfully refused to submit to a breathalyzer test.",True,False,False,False,2016
213,,2010-2874,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (15 day(s) )",refused to submit to a breathalyzer test,True,False,False,False,2010
214,,2010-2874,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (15 day(s) )",while off duty wrongfully operated a motor vehicle while said member's ability was  impared,False,False,True,True,2010
215,,2010-2874,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (15 day(s) )",while off duty wrongfully operated a motor vehicle while under the influence of an intoxicant,True,False,False,True,2010
216,,2010-2874,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (15 day(s) )","while off-duty,did wrongfully operate a motor vehicle under the infleunce of alcohol",True,False,False,False,2010
217,,2015-14267,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, refused to submit to a chemical breath test.",True,False,False,False,2015
218,,2015-14267,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, wrongfully operated a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2015
219,,2015-14267,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",wrongfully operated a motor vehicle while his ability was impaired by the consumption of alcohol.,True,False,False,False,2015
220,,2017-17937,GUILTY,VACATION DAYS (20 day(s) ),"while off-duty, after a traffic dispute involving an individual known to the department during which said police officer threatened to drive up on the curb while elderly and disabled persons were being unloaded from an ambulette",False,False,True,False,2017
221,,2017-17937,GUILTY,VACATION DAYS (20 day(s) ),"while off-duty, failed to remain at the scene of a traffic dispute after the police were notified",False,False,True,False,2017
222,,2017-17937,GUILTY,VACATION DAYS (20 day(s) ),"while off-duty, said police officer parked in a no standing zone where elderly and disabled persons were picked up/dropped off and refused to move when asked to do so",False,False,True,False,2017
223,,2017-17937,GUILTY,VACATION DAYS (20 day(s) ),"while off-duty, used his restricted parking permit to park in a no standing zone while he obtained a haircut",False,True,False,False,2017
224,,2017-18078,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )","while off duty, after following person (s) known to the department for several minutes, said officer went back to person known to the department's,  then drove his vehicle in front of said vehicle operated by person known to the department while it was in motion, causing said vehicle to strike said officer's vehicle in the rear.",False,False,True,True,2017
225,,2017-18078,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )","while off duty, after his vehicle was rear ended by person known to the department, said officer proceeded to exit his vehicle and engaged in a shouting match with person known to the department",False,False,True,True,2017
226,,2017-18078,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )","while off duty, said officer entered his vehicle and proceeded to follow person (s) known to the department for several minutes while shouting profanities at them",False,False,True,True,2017
227,,2010-2425,PLEADED GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (60 day(s) )","while on-duty, failed to follow darp procedure by not requesting an authorized darp towing company and allowing a non-darp towing company to remove vehicles from the scene of various motor vehicle accidents.",False,False,True,False,2010
228,,2010-2425,PLEADED GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (60 day(s) )","while on-duty, failed to follow darp procedures by allowing a non-darp towing company  to remove motor vehicles from the scene of various accidents.",False,False,True,False,2010
229,,2019-20712,GUILTY,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",violated vehicle insurance rules.,False,False,True,False,2019
230,,2016-16217,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )","while off-duty, did wrongfully operate a motor vehicle while his ability was impaired by an intoxicant.",True,False,False,False,2016
231,,2016-16217,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )","while off-duty, did wrongfully operate a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2016
232,,2016-16217,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (19 day(s) )","while off-duty, refused to submit to a chemical breath test.",True,False,False,False,2016
233,,2020-21622,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (25 day(s) ), VACATION DAYS (15 day(s) )",left the scene of an accident.,False,False,True,False,2020
234,,2020-21622,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (25 day(s) ), VACATION DAYS (15 day(s) )",operated a motor vehicle recklessly.,False,False,True,False,2020
